Actual_Label,Predicted_Label,Prediction_Correct,Prob_Edukasi,Prob_Finance,Prob_Health,Prob_Lifestyle,Prob_Nasional,Prob_Otomotif,Prob_Sport,Prob_Teknologi,Prob_Travel,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,filename,title
Edukasi,Edukasi,True,0.93,0.0,0.0,0.03,0.03,0.0,0.01,0.0,0.0,0.194956622909749,0.0004670738036933,0.7164916413522069,0.0004671220385854,0.0004672093075073,0.0004670097079155,0.0857491945152793,0.0004670212055697,0.0004671051594931,tribunnews_lifestyle_20251021_042924.csv,Kapan Malam Nisfu Syaban Tahun 2024? Berikut Amalan Sunnah dan Bacaan Doanya
Otomotif,Otomotif,True,0.0,0.05,0.0,0.08,0.0,0.84,0.0,0.02,0.01,0.0010104267697925,0.1685763798201743,0.3606709931593665,0.0010103500159723,0.2038843415755425,0.2010186550528158,0.0010112590513326,0.0218195781620656,0.0409980163929375,tribunnews_lifestyle_20251021_042924.csv,"Terinsipirasi dari Lab Sains, Koleksi Raya Aleza Ingin Sebarkan Kebahagiaan di Bulan Ramadan"
Travel,Travel,True,0.01,0.0,0.05,0.07,0.0,0.0,0.0,0.09,0.78,0.0008294056756178,0.0008295340704118,0.5746046139800765,0.0008296263269969,0.0008295261069852,0.0008296015959406,0.0008295095590322,0.0425727150351073,0.3778454676498314,tribunnews_lifestyle_20251021_042924.csv,Coba Resep Gudeg Sambal Krecek Ini untuk Makan Siang Nikmat!
Lifestyle,Lifestyle,True,0.05,0.0,0.26,0.5,0.0,0.0,0.0,0.19,0.0,0.0008486876008466,0.0008485191233151,0.8384976029521362,0.1111242048103142,0.000848621993014,0.000848350478093,0.0452869235831825,0.0008486206647435,0.0008484687943547,tribunnews_lifestyle_20251021_042924.csv,Jam Berapa Sholat Nisfu Syaban 2024? Ini Waktu yang Tepat dan Tata Caranya
Nasional,Nasional,True,0.01,0.0,0.0,0.03,0.76,0.05,0.0,0.0,0.15,0.3108768235354817,0.000526823172755,0.5420589726028076,0.000526929970511,0.0005269826634037,0.0005267795349722,0.143902918873765,0.0005268322060584,0.000526937440245,tribunnews_lifestyle_20251021_042924.csv,"Bacaan Doa Nisfu Syaban Lengkap, Dibaca Besok Malam setelah Shalat Magrib dan Surat Yasin 3 Kali"
Nasional,Nasional,True,0.06,0.14,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0002807064686516,0.0002807036159982,0.4539266835346837,0.0002807271422724,0.0607837307766457,0.3781667807167208,0.0002807561675442,0.0729237456456453,0.0330761659318378,tribunnews_lifestyle_20251021_042924.csv,"Rekomendasi Hadiah untuk Imlek, Ada Kue Keranjang Hingga Perhiasan Berlian!"
Health,Health,True,0.11,0.0,0.87,0.02,0.0,0.0,0.0,0.0,0.0,0.1704825946152493,0.0004791613418673,0.593329439809523,0.0004792762316373,0.0737631472857997,0.0004790577904668,0.1445049177827494,0.0160031589543876,0.0004792461883193,tribunnews_lifestyle_20251021_042924.csv,"Bacaan Surat Shad Ayat 54 dalam Tulisan Arab, Lafal Latin, dan Arti"
Health,Lifestyle,False,0.14,0.0,0.13,0.34,0.03,0.02,0.02,0.01,0.31,0.0009114551017932,0.0009110683456635,0.8491016581406654,0.0911338977665844,0.0009113157809573,0.0009109624914762,0.0542975192816367,0.0009111220450762,0.0009110010461467,tribunnews_lifestyle_20251021_042924.csv,"Tata Cara Sholat Nisfu Syaban dan Bacaan Niatnya, Bisa Dikerjakan Sendiri di Rumah"
Travel,Edukasi,False,0.36,0.0,0.01,0.21,0.32,0.0,0.01,0.09,0.0,0.000868346999163,0.081107254614473,0.100061015157114,0.0008684628283032,0.1206473562249572,0.6549735277389972,0.0397367034173684,0.000868708373636,0.0008686246459877,tribunnews_lifestyle_20251021_042924.csv,Kolaborasi Patricia Gouw Dan LeSportsac Diharapkan Wanita Indonesia Lebih Dinamis
Edukasi,Edukasi,True,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0007266728800097,0.1718207843524272,0.1115323504487319,0.0007266083302642,0.3137774089728839,0.1956961829431393,0.0007267793683412,0.1912188764140898,0.0137743362901124,tribunnews_lifestyle_20251021_042924.csv,Usung Tren Kekinian Jadi Strategi Mempertahankan Brand Fashion Agar tetap Eksis 
Teknologi,Teknologi,True,0.0,0.08,0.0,0.0,0.0,0.18,0.0,0.74,0.0,0.028307381415964,0.0011460988744614,0.2776494147769999,0.0011458517455675,0.2701950863663446,0.0011463303836719,0.0011459096185717,0.1374029788661611,0.2818609479522575,tribunnews_lifestyle_20251021_042924.csv,"Dikenal Hidup Sehat, Sophia Latjuba Ungkap Kebiasaan yang Buat Lambungnya Bermasalah"
Otomotif,Otomotif,True,0.0,0.07,0.01,0.08,0.0,0.8,0.0,0.04,0.0,0.0011833917619861,0.0011826617921825,0.1943975994226431,0.001182541103188,0.0011829956401408,0.3713713335255448,0.0011827879980502,0.4271339720629235,0.0011827166933406,tribunnews_lifestyle_20251021_042924.csv,Bubah Alfian Siap Boyong Dua Artis Indonesia yang Sudah Go Internasional di JFC 2024
Lifestyle,Lifestyle,True,0.03,0.0,0.02,0.71,0.02,0.0,0.03,0.03,0.16,0.0002706091828341,0.0148092104343289,0.231318398877428,0.000270598557758,0.2228968820132789,0.093626149909581,0.3559947379651088,0.0714678975473269,0.009345515512355,tribunnews_lifestyle_20251021_042924.csv,Fashion Show Sanggar Humaniora Menampilkan Busana Unik dan Kreatif Dari Pengelolaan Limbah
Travel,Travel,True,0.02,0.02,0.0,0.3,0.02,0.0,0.0,0.04,0.6,0.0005218299557504,0.0005217871769273,0.000521826309012,0.0005217853873391,0.0005218573293627,0.0005217507147469,0.0005217245745553,0.0005223351051413,0.9958251034471648,tribunnews_lifestyle_20251021_042924.csv,5 Cara Meredakan Sakit Gigi Secara Mudah dan Alami
Health,Health,True,0.01,0.0,0.9,0.08,0.0,0.0,0.0,0.0,0.01,0.0005122741540524,0.0631478733437933,0.4531711839866388,0.0005124277235502,0.1449072936479079,0.0005124070797581,0.315244043015129,0.0214802528562303,0.0005122441929396,tribunnews_lifestyle_20251021_042924.csv,Baca Buku di KRL Jadi Langkah Besar Bagi Kemajuan Perjalanan Literasi di Nusantara
Health,Health,True,0.14,0.0,0.68,0.14,0.0,0.0,0.0,0.0,0.04,0.0007034559173613,0.0007033550303025,0.0007033855977951,0.0007034167298173,0.0007035213919598,0.0007033425144617,0.0007033858561864,0.0007033622701477,0.9943727746919678,tribunnews_lifestyle_20251021_042924.csv,"Cara Menghilangkan Bau Ketiak, Coba 5 Tips Alami Berikut Ini"
Teknologi,Teknologi,True,0.03,0.13,0.07,0.11,0.0,0.0,0.0,0.65,0.01,0.0004858932091454,0.0913505787520659,0.5233662114017843,0.1077234909620628,0.1414944103807271,0.0388960757720557,0.000485560871611,0.0957121743445046,0.0004856043060429,tribunnews_lifestyle_20251021_042924.csv,"Disney On Ice Presents 100 Years of Wonder, Bawa Kejaiban 100 Tahun Disney Lebih Dekat"
Health,Health,True,0.0,0.0,0.93,0.07,0.0,0.0,0.0,0.0,0.0,0.0008358498200692,0.1217276105722815,0.2167620020461885,0.0008360060759484,0.000836177832235,0.3764649383884446,0.0733485633804978,0.1905700833155137,0.0186187685688208,tribunnews_lifestyle_20251021_042924.csv,"Empat Tahun Absen, Plaza Indonesia Fashion Week Kembali Hadir, Usung Brand Lokal"
Lifestyle,Lifestyle,True,0.0,0.0,0.14,0.72,0.0,0.01,0.0,0.13,0.0,0.0001710307287195,0.1485728833644489,0.2477053143211441,0.040931734763323,0.0001710570568892,0.4697755048359573,0.0001710355780276,0.0196600106067895,0.0728414287447006,tribunnews_lifestyle_20251021_042924.csv,"Spesial di Shopee Mall, Lancome Bagikan Hadiah Gratis dan Kesempatan untuk Jalan-jalan ke Paris!"
Health,Finance,False,0.02,0.39,0.19,0.0,0.23,0.06,0.0,0.05,0.06,0.0013892693622437,0.0013899169001339,0.1218110253919066,0.0013891834372529,0.0013899802454027,0.5591850100628378,0.0915026528137218,0.2205530751641197,0.0013898866223806,tribunnews_lifestyle_20251021_042924.csv,Desain Timeless Tas Kulit Asli Produksi Dalam Negeri Siap Bersaing dengan Brand Internasional
Nasional,Nasional,True,0.01,0.05,0.0,0.0,0.87,0.04,0.03,0.0,0.0,0.0005075500647253,0.1612815539167974,0.0005077475820389,0.0005075875926778,0.133722186023596,0.0005077545329615,0.0005077243983358,0.0388388613370491,0.6636190345518178,tribunnews_lifestyle_20251021_042924.csv,Miliki Kulit Halus Bak Kulit Bayi dengan Stem Cell Aesthetic
Health,Health,True,0.02,0.0,0.9,0.03,0.01,0.0,0.0,0.0,0.04,0.1194046823372495,0.0011227618262238,0.5870482796602349,0.0011233898594595,0.1705805464450505,0.0011227691167861,0.117351392917979,0.0011229948973256,0.0011231829396908,tribunnews_lifestyle_20251021_042924.csv,"Bacaan Sholawat Nariyah Tulisan Arab dan Latin, Lengkap dengan Artinya"
Lifestyle,Lifestyle,True,0.04,0.02,0.08,0.6,0.01,0.01,0.01,0.02,0.21,0.0128567784083738,0.0766118283338801,0.4472268747574445,0.0004430568805069,0.1346995435581994,0.0609440076153378,0.254516456859281,0.0122584486882149,0.0004430048987612,tribunnews_lifestyle_20251021_042924.csv,Ingin Renovasi Rumah untuk Sambut Ramadan? Dengan KPR BRI Renovasi Bantu Jawab Semuanya
Edukasi,Edukasi,True,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0003368836575094,0.4701289248940667,0.000337035250863,0.0275838174293281,0.2357671194310365,0.088195108708587,0.0279369738238115,0.1493772957834317,0.0003368410213658,tribunnews_lifestyle_20251021_042924.csv,NGOPI – Ngobrol Pintar bersama Lakuemas: Strategi Untung Investasi Digital Gold
Finance,Finance,True,0.0,0.8,0.0,0.0,0.0,0.17,0.0,0.0,0.03,0.0006316213842078,0.0006317643998426,0.4238230030835326,0.1031553172232132,0.0006317921899372,0.2694259032738857,0.0006315585044246,0.2004374181568426,0.0006316217841131,tribunnews_lifestyle_20251021_042924.csv,Jangan Ketinggalan! Ini Daftar Door Prize dari Edisi Koleksi Terbatas Cergam Terbaik Keluarga Bobo
Finance,Teknologi,False,0.03,0.31,0.03,0.05,0.01,0.0,0.02,0.47,0.08,0.0009503619294225,0.0009501808535893,0.0838641228796746,0.0009501529929472,0.1032613236946794,0.0009501375086837,0.0009500664237653,0.1860830564943942,0.6220405972228434,tribunnews_lifestyle_20251021_042924.csv,Cara Intan Ayu Merawat Kesehatan Kulitnya di Usia 39 Tahun
Teknologi,Teknologi,True,0.0,0.08,0.01,0.02,0.03,0.01,0.01,0.73,0.11,0.0007266430586629,0.0007266437658679,0.1241864739436239,0.0007264694803655,0.2100912627734596,0.3194353177827824,0.0007268349104779,0.0007266511471821,0.3426537031375776,tribunnews_lifestyle_20251021_042924.csv,"Bukan Sekadar Hiasan, Wallpaper Custom di Rumah Sakit Punya Efek Psikologis Bagi Nakes dan Pasien"
Travel,Travel,True,0.0,0.01,0.0,0.15,0.01,0.02,0.0,0.1,0.71,0.0008684037927873,0.0008682893769222,0.0513366757802983,0.0008683255632967,0.670701630280948,0.0008682380441556,0.0344369776381599,0.0964453356225766,0.1436061239008549,tribunnews_lifestyle_20251021_042924.csv,3 Tips dari Psikolog Melawan Rasa Gagal saat Meraih Mimpi
Teknologi,Teknologi,True,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,0.0,0.0005319042703601,0.0005318722101685,0.241645487559215,0.0005317964803696,0.5558881012479753,0.0005319481083405,0.1103039258401032,0.000532006933157,0.0895029573503105,tribunnews_lifestyle_20251021_042924.csv,Rekomendasi Video Pembelajaran untuk Anak dengan Konsep Bercerita dari Domikado
Finance,Otomotif,False,0.0,0.12,0.0,0.0,0.0,0.86,0.0,0.01,0.01,0.1315873491583076,0.0681722404530396,0.0012923621540244,0.0012923199283143,0.6884290607384155,0.0012924534817389,0.001292744243556,0.0012930564034111,0.1053484134391923,tribunnews_lifestyle_20251021_042924.csv,'Toxic People' Jadi Biang Kerok Orang Batal Menikah dan Kasus Cerai Meningkat
Travel,Travel,True,0.04,0.01,0.01,0.02,0.0,0.0,0.01,0.29,0.62,0.1330473755568089,0.1826019655051965,0.0599577619614656,0.001001218827936,0.4814401731972584,0.0010014481178263,0.0010018063566528,0.0010016901727477,0.1389465603041073,tribunnews_lifestyle_20251021_042924.csv,Orang Indonesia Malas Menikah Jadi Masalah Serius BKKBN Segera Lakukan Penanganan
Nasional,Nasional,True,0.0,0.03,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0633397144052732,0.2154754087603065,0.0005914828176773,0.0005913681084117,0.6452955162900301,0.0005912253700879,0.0729323798816185,0.0005914148361776,0.0005914895304169,tribunnews_lifestyle_20251021_042924.csv,"Sama Seperti Jepang, Masyarakat Indonesia Semakin Malas Menikah, Ada Apa?"
Finance,Finance,True,0.0,0.65,0.0,0.0,0.02,0.32,0.0,0.01,0.0,0.0006351016327224,0.000635215013246,0.5159988170495339,0.0006350764610588,0.3945734849644871,0.0006353500699485,0.0006354072185735,0.0732586532834224,0.0129928943070071,tribunnews_lifestyle_20251021_042924.csv,Paula Verhoeven Sebut Kunci Kecantikan Itu Percaya Diri
Sport,Sport,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003633856882464,0.1872881777427351,0.334818662773873,0.0395454746491625,0.0003632989479202,0.0282006362585949,0.0003633009318856,0.0003633783028841,0.4086936847046978,tribunnews_lifestyle_20251021_042924.csv,"Ramadan Hampir Tiba, Manfaatkan Promo Spesial BRI untuk Persiapkan Kebutuhan Jelang Bulan Puasa!"
Teknologi,Teknologi,True,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0004324993385352,0.0215551015764812,0.1867838426833054,0.0004324785276134,0.0004325637770059,0.021611995403114,0.0004327474595025,0.0004326708970214,0.7678861003374206,tribunnews_lifestyle_20251021_042924.csv,"Ide Olahan Berbahan Ayam ala Chef Devina Hermawan, Mudah dan Anti Gagal"
Lifestyle,Lifestyle,True,0.0,0.01,0.16,0.78,0.02,0.0,0.0,0.0,0.03,0.0010695489209902,0.1220027279370705,0.324229908170472,0.0010690434080485,0.1617855538594876,0.2037472992885084,0.0010692016772358,0.183957435752936,0.0010692809852507,tribunnews_lifestyle_20251021_042924.csv,"Anak Muda Pelembang Peduli Fashion, Outfit Simpel yang Berkelas jadi Pilihan"
Teknologi,Lifestyle,False,0.01,0.0,0.0,0.89,0.0,0.0,0.0,0.1,0.0,0.0805317177461524,0.0006108557349222,0.0959705186449894,0.0006108227647019,0.2574219128321916,0.0006106986528462,0.0006107754148012,0.3685832951690284,0.1950494030403664,tribunnews_lifestyle_20251021_042924.csv,Aktor Agus Kuncoro Rutin Olahraga Lari karena Terinspirasi Istri
Edukasi,Edukasi,True,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088239705249,0.1375972236231639,0.0151845195297346,0.0008824437353759,0.0765560638687898,0.0344049662051896,0.0008826115731986,0.0008825413867894,0.7327272330252678,tribunnews_lifestyle_20251021_042924.csv,"Puasa Lancar, Kulit Tetap Lembab dan Cerah, Yuk Rawat Kulit dengan Skin Booster"
Nasional,Nasional,True,0.01,0.03,0.02,0.01,0.76,0.0,0.0,0.15,0.02,0.0004690138784753,0.000469099180107,0.1039476342052031,0.0004691044573893,0.6089419923013105,0.017943392047513,0.000469064009189,0.0004690482322273,0.2668216516885854,tribunnews_lifestyle_20251021_042924.csv,Empat Tips Tingkatkan Bonding 'Skin to Skin' antara Bayi dan Ibu Pekerja
Otomotif,Otomotif,True,0.0,0.18,0.0,0.0,0.0,0.72,0.0,0.07,0.03,0.0007080764288123,0.0007085026768168,0.0904250454838944,0.0007079114597876,0.8590457137152188,0.0007082814586573,0.0462799359234584,0.0007084340048705,0.0007080988484834,tribunnews_lifestyle_20251021_042924.csv,"Kisah Inspiratif Cicilia Nina Triana, Perempuan dan Arah Hidup"
Travel,Travel,True,0.0,0.0,0.0,0.08,0.06,0.02,0.02,0.0,0.82,0.0012350944818223,0.0012350909254171,0.2117848649452662,0.0012350872238984,0.3448874389006344,0.0012350163304541,0.3263753098482966,0.0897818471870596,0.0222302501571508,tribunnews_lifestyle_20251021_042924.csv,"KPPB Genap Satu Tahun, Meiline Tenardi Ungkap Harapan Ini untuk Wanita Indonesia"
Sport,Sport,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003045481877043,0.0003045623326925,0.0995079797154726,0.0003045748533663,0.3025325820485971,0.4244570855484817,0.000304574163549,0.0003045115595993,0.1719795815905369,tribunnews_lifestyle_20251021_042924.csv,Beres-Beres Rumah Lebih Mudah dengan Robot Vacuum AI dari Dreame
Finance,Finance,True,0.0,0.67,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0005475650663181,0.0005476820199696,0.0005475983009342,0.0362353534226437,0.694539748099235,0.0908670902090523,0.0654885647162656,0.0089091975508538,0.1023172006147271,tribunnews_lifestyle_20251021_042924.csv,"Penggunaan Internet Berlebihan pada Anak Berdampak Buruk, Pemanfaatan Teknologi Ini Jadi Solusi"
Travel,Travel,True,0.0,0.02,0.0,0.03,0.0,0.13,0.0,0.0,0.82,0.0355570940087302,0.0006107404451601,0.0228930298368996,0.0148785659692919,0.4524713339245413,0.0006107920283948,0.4443404224461062,0.0006109735861866,0.0280270477546889,tribunnews_lifestyle_20251021_042924.csv,Penyebab Kesehatan Mental Remaja Indonesia Kian Mengkhawatirkan
Nasional,Nasional,True,0.0,0.34,0.0,0.0,0.56,0.08,0.0,0.0,0.02,0.0011828414494504,0.0011825186162136,0.1432368015859654,0.0011825586520011,0.6681341911549684,0.0011827600064746,0.031737886064719,0.0011827704804683,0.1509776719897389,tribunnews_lifestyle_20251021_042924.csv,"Cerita Yustina Yuliani 16 Tahun Belajar Nail Art, Bahkan hingga ke Singapura, Kini Jadi Ahlinya"
Nasional,Health,False,0.07,0.0,0.82,0.05,0.05,0.0,0.0,0.0,0.01,0.000829528235741,0.0008294947883576,0.0268055893646507,0.0008296354182769,0.8916377245763584,0.0236344712251766,0.0008297733445644,0.0008295202450417,0.0537742628018323,tribunnews_lifestyle_20251021_042924.csv,Kesalahan Pola Asuh yang Bisa Bentuk Pribadi Negatif Anak
Nasional,Health,False,0.05,0.08,0.76,0.03,0.06,0.0,0.0,0.0,0.02,0.0010589770197443,0.0010586278754162,0.147092507602529,0.0010584664156523,0.0819842293149923,0.0010586274488896,0.3693666702872519,0.3962634007174463,0.0010584933180776,tribunnews_lifestyle_20251021_042924.csv,"Intip Persiapan Puteri Indonesia Jelang Ajang Kontes Kecantikan di Vietnam, Polandia dan Jepang"
Health,Health,True,0.07,0.01,0.88,0.0,0.04,0.0,0.0,0.0,0.0,0.0005699967374959,0.1017012853669631,0.0883146834587373,0.0005699675568887,0.1556079214853672,0.0005701740012821,0.000570084055417,0.0214381748490924,0.630657712488756,tribunnews_lifestyle_20251021_042924.csv,"Kenali Tanda Penuaan Dini, Cegah Sejak Dini dengan Retinol dan Peptide"
Sport,Sport,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0006655093302845,0.0006659533944848,0.0202488356074165,0.0006655384878679,0.4003967701401857,0.1225606806087701,0.0210018104897516,0.0006655885455089,0.4331293133957296,tribunnews_lifestyle_20251021_042924.csv,Penggunaan Kecerdasan Buatan untuk Menganalisa Tanda Penuaan Dini dan Masalah Kulit
Health,Health,True,0.19,0.03,0.55,0.13,0.01,0.0,0.04,0.05,0.0,0.0008824208676822,0.0008823834370209,0.1672421859268121,0.0008822161166071,0.4234291005645419,0.404034557375231,0.0008825899992465,0.0008823506403372,0.0008821950725207,tribunnews_lifestyle_20251021_042924.csv,"Kuat dan Mandiri, Maia Estianty Jadi Duta Buat Sampaikan Pesan Majesty is Yours ke Kaum Hawa"
Finance,Finance,True,0.12,0.41,0.01,0.02,0.09,0.05,0.0,0.29,0.01,0.0003484772164557,0.4607505395363248,0.3747591506493233,0.0976160824213001,0.0003485216610462,0.0651317825454374,0.0003484841230049,0.0003485630179812,0.0003483988291259,tribunnews_lifestyle_20251021_042924.csv,Tampil Menawan saat Buka Bersama! Dapat Cashback 25 Persen untuk Belanja Baju Pakai QRIS di BRImo
Otomotif,Otomotif,True,0.0,0.18,0.0,0.04,0.0,0.65,0.0,0.13,0.0,0.0003634143196187,0.0670531503049857,0.6214826821894827,0.1090910970415302,0.1338298211693339,0.0113310364015669,0.0561218793067414,0.0003635747205062,0.000363344546234,tribunnews_lifestyle_20251021_042924.csv,Tips Bukber Hemat saat Ramadan: Manfaatkan Promo Maksimal!
Edukasi,Edukasi,True,0.98,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0005672483940795,0.0005671450097896,0.2826926311551911,0.00056708637354,0.1781685128825476,0.5357357358119997,0.0005670545709594,0.0005672462529699,0.0005673395489229,tribunnews_lifestyle_20251021_042924.csv,"Tren Hijab Artis Cocok untuk Lebaran, Gaya Lesti Kejora hingga Inara Rusli Jadi Sorotan"
Nasional,Nasional,True,0.32,0.05,0.0,0.0,0.58,0.0,0.0,0.0,0.05,0.0004482187417869,0.2043971614991689,0.0006654058016384,0.0536660278923699,0.1012680386581198,0.1229583353593704,0.0004483550113739,0.0004481248697718,0.5157003321663997,tribunnews_lifestyle_20251021_042924.csv,"5 Tips Memilih Oven Listrik Terbaik, Perhatikan Ukuran hingga Cermati Review Produk"
Nasional,Otomotif,False,0.0,0.21,0.0,0.0,0.3,0.44,0.0,0.05,0.0,0.0173555905327673,0.4914509344322601,0.000542318744854,0.2434906735656952,0.2449914451319988,0.0005423201029689,0.0005422812095867,0.0005421365152805,0.0005422997645881,tribunnews_lifestyle_20251021_042924.csv,"10 Keuntungan Belanja Bayar di Tempat atau COD, Tingkatkan Kepercayaan dan Kenyamanan"
Travel,Travel,True,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.95,0.0006142572653737,0.4249430708717208,0.0006142595244777,0.5541615110757239,0.0172100769984611,0.0006144368486171,0.0006141415886339,0.0006141094802075,0.0006141363467841,tribunnews_lifestyle_20251021_042924.csv,"Tokopedia Manjakan Pengguna dengan Fitur COD, Pelanggan Bisa Bayar di Tempat secara Aman dan Nyaman"
Sport,Sport,True,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0,0.0,0.1073094330556886,0.2957294231818086,0.2632310070221969,0.0006431853760618,0.1853669422354393,0.0762411183134891,0.0480136950189677,0.0006427337852583,0.0228224620110892,tribunnews_lifestyle_20251021_042924.csv,"Inspiratif, Pemuda Asal Majalaya Ini Sukses Raup Cuan dari Sampah Plastik"
Teknologi,Edukasi,False,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010794011354658,0.001079605747012,0.2719292377784305,0.0010790089373756,0.2977317474299083,0.3266454372865805,0.0256052220712605,0.0737705171554686,0.0010798224584979,tribunnews_lifestyle_20251021_042924.csv,"Perhiasan Hal Personal Bagi Happy Salma, Ini Tips darinya Agar Tampil Pede Berbusana Apa Saja"
Edukasi,Edukasi,True,0.98,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.000611067350684,0.0006111555293112,0.5594484804645381,0.0006107901845182,0.1366393365048324,0.2750406795589954,0.000611040550263,0.0006107727876873,0.0258166770691701,tribunnews_lifestyle_20251021_042924.csv,"3 Cara Memilih Baju Lebaran bagi Pria, Jangan Salah Pilih"
